STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
daniele.verdi@student.com,teacher@test.com,Art,2021/05/13,6.2,S
silvia.rossi@student.com,teacher@test.com,Art,2021/05/13,8.8,S
michele.banovaz@student.com,teacher@test.com,Art,2021/05/13,4.1,S
maurizio.bencina@student.com,teacher@test.com,Art,2021/05/13,5.3,S
andrea.dalvador@student.com,teacher@test.com,Art,2021/05/13,5.9,S
luisa.nkrtov@student.com,teacher@test.com,Art,2021/05/13,9.6,S
ludovico.degrassi@student.com,teacher@test.com,Art,2021/05/13,4.5,S
gino.ronchiato@student.com,teacher@test.com,Art,2021/05/13,6.2,S
fabio.bianchi@student.com,teacher@test.com,Art,2021/05/13,4.9,S
giovanna.rossi@student.com,teacher@test.com,Art,2021/05/13,4.2,S
daniele.verdi@student.com,teacher@test.com,Art,2021/02/19,7.7,N
silvia.rossi@student.com,teacher@test.com,Art,2021/02/19,4.6,N
michele.banovaz@student.com,teacher@test.com,Art,2021/02/19,5.3,N
maurizio.bencina@student.com,teacher@test.com,Art,2021/02/19,9.4,N
andrea.dalvador@student.com,teacher@test.com,Art,2021/02/19,5.9,N
luisa.nkrtov@student.com,teacher@test.com,Art,2021/02/19,9.3,N
ludovico.degrassi@student.com,teacher@test.com,Art,2021/02/19,5.7,N
gino.ronchiato@student.com,teacher@test.com,Art,2021/02/19,9.1,N
fabio.bianchi@student.com,teacher@test.com,Art,2021/02/19,9.6,N
giovanna.rossi@student.com,teacher@test.com,Art,2021/02/19,7.2,N
daniele.verdi@student.com,teacher@test.com,Art,2021/04/03,9.9,S
silvia.rossi@student.com,teacher@test.com,Art,2021/04/03,9.6,S
michele.banovaz@student.com,teacher@test.com,Art,2021/04/03,4.8,S
maurizio.bencina@student.com,teacher@test.com,Art,2021/04/03,6.5,S
andrea.dalvador@student.com,teacher@test.com,Art,2021/04/03,9.4,S
luisa.nkrtov@student.com,teacher@test.com,Art,2021/04/03,5.9,S
ludovico.degrassi@student.com,teacher@test.com,Art,2021/04/03,7.1,S
gino.ronchiato@student.com,teacher@test.com,Art,2021/04/03,8.2,S
fabio.bianchi@student.com,teacher@test.com,Art,2021/04/03,5.2,S
giovanna.rossi@student.com,teacher@test.com,Art,2021/04/03,9.7,S
daniele.verdi@student.com,teacher@test.com,Art,2021/05/13,7.6,N
silvia.rossi@student.com,teacher@test.com,Art,2021/05/13,8.5,N
michele.banovaz@student.com,teacher@test.com,Art,2021/05/13,6.1,N
maurizio.bencina@student.com,teacher@test.com,Art,2021/05/13,6.0,N
andrea.dalvador@student.com,teacher@test.com,Art,2021/05/13,9.4,N
luisa.nkrtov@student.com,teacher@test.com,Art,2021/05/13,4.2,N
ludovico.degrassi@student.com,teacher@test.com,Art,2021/05/13,4.7,N
gino.ronchiato@student.com,teacher@test.com,Art,2021/05/13,4.7,N
fabio.bianchi@student.com,teacher@test.com,Art,2021/05/13,8.8,N
giovanna.rossi@student.com,teacher@test.com,Art,2021/05/13,8.3,N
