STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
giulio.dissegna@student.com,teacher@test.com,Art,2021/01/07,8.9,S
gino.bianchi@student.com,teacher@test.com,Art,2021/01/07,7.3,S
daniele.bencina@student.com,teacher@test.com,Art,2021/01/07,6.2,S
zambio.dieselgaypeck@student.com,teacher@test.com,Art,2021/01/07,6.7,S
ludovico.cesari@student.com,teacher@test.com,Art,2021/01/07,4.7,S
michele.vida@student.com,teacher@test.com,Art,2021/01/07,7.8,S
michele.verdi@student.com,teacher@test.com,Art,2021/01/07,5.8,S
gino.banovaz@student.com,teacher@test.com,Art,2021/01/07,6.9,S
ludovico.pacco@student.com,teacher@test.com,Art,2021/01/07,7.7,S
lorenzo.bencina@student.com,teacher@test.com,Art,2021/01/07,4.5,S
giulio.dissegna@student.com,teacher@test.com,Art,2021/03/14,5.5,N
gino.bianchi@student.com,teacher@test.com,Art,2021/03/14,4.5,N
daniele.bencina@student.com,teacher@test.com,Art,2021/03/14,5.4,N
zambio.dieselgaypeck@student.com,teacher@test.com,Art,2021/03/14,7.2,N
ludovico.cesari@student.com,teacher@test.com,Art,2021/03/14,6.8,N
michele.vida@student.com,teacher@test.com,Art,2021/03/14,5.3,N
michele.verdi@student.com,teacher@test.com,Art,2021/03/14,6.3,N
gino.banovaz@student.com,teacher@test.com,Art,2021/03/14,9.6,N
ludovico.pacco@student.com,teacher@test.com,Art,2021/03/14,8.1,N
lorenzo.bencina@student.com,teacher@test.com,Art,2021/03/14,5.9,N
giulio.dissegna@student.com,teacher@test.com,Art,2021/05/11,6.8,S
gino.bianchi@student.com,teacher@test.com,Art,2021/05/11,4.8,S
daniele.bencina@student.com,teacher@test.com,Art,2021/05/11,7.2,S
zambio.dieselgaypeck@student.com,teacher@test.com,Art,2021/05/11,8.9,S
ludovico.cesari@student.com,teacher@test.com,Art,2021/05/11,6.8,S
michele.vida@student.com,teacher@test.com,Art,2021/05/11,6.0,S
michele.verdi@student.com,teacher@test.com,Art,2021/05/11,9.7,S
gino.banovaz@student.com,teacher@test.com,Art,2021/05/11,6.6,S
ludovico.pacco@student.com,teacher@test.com,Art,2021/05/11,9.0,S
lorenzo.bencina@student.com,teacher@test.com,Art,2021/05/11,9.9,S
giulio.dissegna@student.com,teacher@test.com,Art,2021/03/26,5.5,N
gino.bianchi@student.com,teacher@test.com,Art,2021/03/26,8.0,N
daniele.bencina@student.com,teacher@test.com,Art,2021/03/26,4.5,N
zambio.dieselgaypeck@student.com,teacher@test.com,Art,2021/03/26,5.5,N
ludovico.cesari@student.com,teacher@test.com,Art,2021/03/26,7.1,N
michele.vida@student.com,teacher@test.com,Art,2021/03/26,4.0,N
michele.verdi@student.com,teacher@test.com,Art,2021/03/26,9.6,N
gino.banovaz@student.com,teacher@test.com,Art,2021/03/26,4.9,N
ludovico.pacco@student.com,teacher@test.com,Art,2021/03/26,6.0,N
lorenzo.bencina@student.com,teacher@test.com,Art,2021/03/26,7.8,N
