STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
fabio.dieselgaypeck@student.com,teacher@test.com,Art,2020/12/31,9.9,S
michele.gustin@student.com,teacher@test.com,Art,2020/12/31,9.0,S
ludovico.nemesi@student.com,teacher@test.com,Art,2020/12/31,8.9,S
luca.komauli@student.com,teacher@test.com,Art,2020/12/31,6.3,S
graziella.falanga@student.com,teacher@test.com,Art,2020/12/31,9.7,S
graziella.panozzo@student.com,teacher@test.com,Art,2020/12/31,9.2,S
ludovico.furlan@student.com,teacher@test.com,Art,2020/12/31,6.4,S
serena.dalvador@student.com,teacher@test.com,Art,2020/12/31,4.4,S
riccardo.cesari@student.com,teacher@test.com,Art,2020/12/31,9.4,S
davide.bencina@student.com,teacher@test.com,Art,2020/12/31,9.8,S
fabio.dieselgaypeck@student.com,teacher@test.com,Art,2020/10/23,8.8,N
michele.gustin@student.com,teacher@test.com,Art,2020/10/23,8.1,N
ludovico.nemesi@student.com,teacher@test.com,Art,2020/10/23,9.0,N
luca.komauli@student.com,teacher@test.com,Art,2020/10/23,7.4,N
graziella.falanga@student.com,teacher@test.com,Art,2020/10/23,5.3,N
graziella.panozzo@student.com,teacher@test.com,Art,2020/10/23,4.7,N
ludovico.furlan@student.com,teacher@test.com,Art,2020/10/23,4.4,N
serena.dalvador@student.com,teacher@test.com,Art,2020/10/23,9.6,N
riccardo.cesari@student.com,teacher@test.com,Art,2020/10/23,9.1,N
davide.bencina@student.com,teacher@test.com,Art,2020/10/23,5.9,N
fabio.dieselgaypeck@student.com,teacher@test.com,Art,2021/06/09,8.2,S
michele.gustin@student.com,teacher@test.com,Art,2021/06/09,5.6,S
ludovico.nemesi@student.com,teacher@test.com,Art,2021/06/09,9.0,S
luca.komauli@student.com,teacher@test.com,Art,2021/06/09,8.0,S
graziella.falanga@student.com,teacher@test.com,Art,2021/06/09,7.1,S
graziella.panozzo@student.com,teacher@test.com,Art,2021/06/09,6.0,S
ludovico.furlan@student.com,teacher@test.com,Art,2021/06/09,9.3,S
serena.dalvador@student.com,teacher@test.com,Art,2021/06/09,4.3,S
riccardo.cesari@student.com,teacher@test.com,Art,2021/06/09,4.9,S
davide.bencina@student.com,teacher@test.com,Art,2021/06/09,9.5,S
fabio.dieselgaypeck@student.com,teacher@test.com,Art,2021/03/09,8.4,N
michele.gustin@student.com,teacher@test.com,Art,2021/03/09,4.3,N
ludovico.nemesi@student.com,teacher@test.com,Art,2021/03/09,9.6,N
luca.komauli@student.com,teacher@test.com,Art,2021/03/09,7.5,N
graziella.falanga@student.com,teacher@test.com,Art,2021/03/09,6.3,N
graziella.panozzo@student.com,teacher@test.com,Art,2021/03/09,5.3,N
ludovico.furlan@student.com,teacher@test.com,Art,2021/03/09,7.1,N
serena.dalvador@student.com,teacher@test.com,Art,2021/03/09,6.9,N
riccardo.cesari@student.com,teacher@test.com,Art,2021/03/09,4.7,N
davide.bencina@student.com,teacher@test.com,Art,2021/03/09,6.8,N
