STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
serena.bravin@student.com,teacher@test.com,IT,2021/02/15,7.4,S
riccardo.pacco@student.com,teacher@test.com,IT,2021/02/15,4.1,S
andrea.panozzo@student.com,teacher@test.com,IT,2021/02/15,4.2,S
silvia.falanga@student.com,teacher@test.com,IT,2021/02/15,8.1,S
giovanna.petronio@student.com,teacher@test.com,IT,2021/02/15,4.5,S
lorenzo.bianchi@student.com,teacher@test.com,IT,2021/02/15,4.6,S
fabiana.nemesi@student.com,teacher@test.com,IT,2021/02/15,6.5,S
ludovico.bianchi@student.com,teacher@test.com,IT,2021/02/15,4.8,S
giovanna.panozzo@student.com,teacher@test.com,IT,2021/02/15,9.6,S
maurizio.dalvador@student.com,teacher@test.com,IT,2021/02/15,7.4,S
serena.bravin@student.com,teacher@test.com,IT,2021/01/17,7.4,N
riccardo.pacco@student.com,teacher@test.com,IT,2021/01/17,5.8,N
andrea.panozzo@student.com,teacher@test.com,IT,2021/01/17,8.4,N
silvia.falanga@student.com,teacher@test.com,IT,2021/01/17,6.1,N
giovanna.petronio@student.com,teacher@test.com,IT,2021/01/17,5.1,N
lorenzo.bianchi@student.com,teacher@test.com,IT,2021/01/17,5.8,N
fabiana.nemesi@student.com,teacher@test.com,IT,2021/01/17,9.0,N
ludovico.bianchi@student.com,teacher@test.com,IT,2021/01/17,5.9,N
giovanna.panozzo@student.com,teacher@test.com,IT,2021/01/17,4.7,N
maurizio.dalvador@student.com,teacher@test.com,IT,2021/01/17,6.2,N
serena.bravin@student.com,teacher@test.com,IT,2020/10/23,5.2,S
riccardo.pacco@student.com,teacher@test.com,IT,2020/10/23,9.7,S
andrea.panozzo@student.com,teacher@test.com,IT,2020/10/23,9.8,S
silvia.falanga@student.com,teacher@test.com,IT,2020/10/23,5.3,S
giovanna.petronio@student.com,teacher@test.com,IT,2020/10/23,7.5,S
lorenzo.bianchi@student.com,teacher@test.com,IT,2020/10/23,9.9,S
fabiana.nemesi@student.com,teacher@test.com,IT,2020/10/23,8.1,S
ludovico.bianchi@student.com,teacher@test.com,IT,2020/10/23,7.3,S
giovanna.panozzo@student.com,teacher@test.com,IT,2020/10/23,9.1,S
maurizio.dalvador@student.com,teacher@test.com,IT,2020/10/23,6.5,S
serena.bravin@student.com,teacher@test.com,IT,2021/06/10,4.7,N
riccardo.pacco@student.com,teacher@test.com,IT,2021/06/10,9.5,N
andrea.panozzo@student.com,teacher@test.com,IT,2021/06/10,9.2,N
silvia.falanga@student.com,teacher@test.com,IT,2021/06/10,5.5,N
giovanna.petronio@student.com,teacher@test.com,IT,2021/06/10,4.5,N
lorenzo.bianchi@student.com,teacher@test.com,IT,2021/06/10,9.1,N
fabiana.nemesi@student.com,teacher@test.com,IT,2021/06/10,9.3,N
ludovico.bianchi@student.com,teacher@test.com,IT,2021/06/10,8.6,N
giovanna.panozzo@student.com,teacher@test.com,IT,2021/06/10,7.1,N
maurizio.dalvador@student.com,teacher@test.com,IT,2021/06/10,6.5,N
