STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
guglielmo.vida@student.com,teacher@test.com,IT,2021/02/19,7.0,S
serena.novelli@student.com,teacher@test.com,IT,2021/02/19,7.7,S
sofia.petronio@student.com,teacher@test.com,IT,2021/02/19,5.5,S
pippo.tence@student.com,teacher@test.com,IT,2021/02/19,4.1,S
gino.driol@student.com,teacher@test.com,IT,2021/02/19,4.6,S
giulio.nemesi@student.com,teacher@test.com,IT,2021/02/19,8.5,S
mario.vida@student.com,teacher@test.com,IT,2021/02/19,9.4,S
fabio.driol@student.com,teacher@test.com,IT,2021/02/19,4.5,S
giovanna.novelli@student.com,teacher@test.com,IT,2021/02/19,4.9,S
silvia.verdi@student.com,teacher@test.com,IT,2021/02/19,7.9,S
guglielmo.vida@student.com,teacher@test.com,IT,2021/05/13,4.9,N
serena.novelli@student.com,teacher@test.com,IT,2021/05/13,7.1,N
sofia.petronio@student.com,teacher@test.com,IT,2021/05/13,5.9,N
pippo.tence@student.com,teacher@test.com,IT,2021/05/13,7.9,N
gino.driol@student.com,teacher@test.com,IT,2021/05/13,9.9,N
giulio.nemesi@student.com,teacher@test.com,IT,2021/05/13,4.8,N
mario.vida@student.com,teacher@test.com,IT,2021/05/13,6.7,N
fabio.driol@student.com,teacher@test.com,IT,2021/05/13,5.1,N
giovanna.novelli@student.com,teacher@test.com,IT,2021/05/13,4.2,N
silvia.verdi@student.com,teacher@test.com,IT,2021/05/13,5.5,N
guglielmo.vida@student.com,teacher@test.com,IT,2021/01/11,5.2,S
serena.novelli@student.com,teacher@test.com,IT,2021/01/11,5.0,S
sofia.petronio@student.com,teacher@test.com,IT,2021/01/11,5.3,S
pippo.tence@student.com,teacher@test.com,IT,2021/01/11,9.5,S
gino.driol@student.com,teacher@test.com,IT,2021/01/11,6.1,S
giulio.nemesi@student.com,teacher@test.com,IT,2021/01/11,9.2,S
mario.vida@student.com,teacher@test.com,IT,2021/01/11,5.5,S
fabio.driol@student.com,teacher@test.com,IT,2021/01/11,8.2,S
giovanna.novelli@student.com,teacher@test.com,IT,2021/01/11,6.4,S
silvia.verdi@student.com,teacher@test.com,IT,2021/01/11,6.2,S
guglielmo.vida@student.com,teacher@test.com,IT,2020/12/10,6.8,N
serena.novelli@student.com,teacher@test.com,IT,2020/12/10,5.3,N
sofia.petronio@student.com,teacher@test.com,IT,2020/12/10,7.7,N
pippo.tence@student.com,teacher@test.com,IT,2020/12/10,5.4,N
gino.driol@student.com,teacher@test.com,IT,2020/12/10,7.2,N
giulio.nemesi@student.com,teacher@test.com,IT,2020/12/10,9.8,N
mario.vida@student.com,teacher@test.com,IT,2020/12/10,6.0,N
fabio.driol@student.com,teacher@test.com,IT,2020/12/10,6.9,N
giovanna.novelli@student.com,teacher@test.com,IT,2020/12/10,7.4,N
silvia.verdi@student.com,teacher@test.com,IT,2020/12/10,5.4,N
