STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
elisa.bravin@student.com,teacher@test.com,IT,2021/03/05,6.5,S
daniele.falanga@student.com,teacher@test.com,IT,2021/03/05,8.9,S
giovanna.komauli@student.com,teacher@test.com,IT,2021/03/05,6.5,S
luisa.bravin@student.com,teacher@test.com,IT,2021/03/05,7.5,S
giulio.rossi@student.com,teacher@test.com,IT,2021/03/05,4.8,S
sofia.nkrtov@student.com,teacher@test.com,IT,2021/03/05,5.9,S
mario.gustin@student.com,teacher@test.com,IT,2021/03/05,4.7,S
giovanna.pacco@student.com,teacher@test.com,IT,2021/03/05,9.5,S
diego.pacco@student.com,teacher@test.com,IT,2021/03/05,7.7,S
pippo.caenazzo@student.com,teacher@test.com,IT,2021/03/05,8.4,S
elisa.bravin@student.com,teacher@test.com,IT,2021/03/19,5.0,N
daniele.falanga@student.com,teacher@test.com,IT,2021/03/19,6.2,N
giovanna.komauli@student.com,teacher@test.com,IT,2021/03/19,5.6,N
luisa.bravin@student.com,teacher@test.com,IT,2021/03/19,6.0,N
giulio.rossi@student.com,teacher@test.com,IT,2021/03/19,8.6,N
sofia.nkrtov@student.com,teacher@test.com,IT,2021/03/19,6.4,N
mario.gustin@student.com,teacher@test.com,IT,2021/03/19,5.5,N
giovanna.pacco@student.com,teacher@test.com,IT,2021/03/19,6.7,N
diego.pacco@student.com,teacher@test.com,IT,2021/03/19,9.2,N
pippo.caenazzo@student.com,teacher@test.com,IT,2021/03/19,5.7,N
elisa.bravin@student.com,teacher@test.com,IT,2021/05/05,4.5,S
daniele.falanga@student.com,teacher@test.com,IT,2021/05/05,5.3,S
giovanna.komauli@student.com,teacher@test.com,IT,2021/05/05,8.7,S
luisa.bravin@student.com,teacher@test.com,IT,2021/05/05,5.1,S
giulio.rossi@student.com,teacher@test.com,IT,2021/05/05,7.3,S
sofia.nkrtov@student.com,teacher@test.com,IT,2021/05/05,8.3,S
mario.gustin@student.com,teacher@test.com,IT,2021/05/05,5.0,S
giovanna.pacco@student.com,teacher@test.com,IT,2021/05/05,6.0,S
diego.pacco@student.com,teacher@test.com,IT,2021/05/05,5.3,S
pippo.caenazzo@student.com,teacher@test.com,IT,2021/05/05,5.5,S
elisa.bravin@student.com,teacher@test.com,IT,2021/01/07,6.9,N
daniele.falanga@student.com,teacher@test.com,IT,2021/01/07,9.2,N
giovanna.komauli@student.com,teacher@test.com,IT,2021/01/07,6.7,N
luisa.bravin@student.com,teacher@test.com,IT,2021/01/07,5.1,N
giulio.rossi@student.com,teacher@test.com,IT,2021/01/07,8.8,N
sofia.nkrtov@student.com,teacher@test.com,IT,2021/01/07,9.1,N
mario.gustin@student.com,teacher@test.com,IT,2021/01/07,6.8,N
giovanna.pacco@student.com,teacher@test.com,IT,2021/01/07,6.4,N
diego.pacco@student.com,teacher@test.com,IT,2021/01/07,5.2,N
pippo.caenazzo@student.com,teacher@test.com,IT,2021/01/07,5.5,N
