STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
guglielmo.petronio@student.com,teacher@test.com,Math,2020/10/24,4.2,S
silvia.gustin@student.com,teacher@test.com,Math,2020/10/24,7.9,S
mario.tence@student.com,teacher@test.com,Math,2020/10/24,6.5,S
lorenzo.panozzo@student.com,teacher@test.com,Math,2020/10/24,6.8,S
massimo.rossi@student.com,teacher@test.com,Math,2020/10/24,6.1,S
elisa.dieselgaypeck@student.com,teacher@test.com,Math,2020/10/24,9.5,S
massimo.rossi1@student.com,teacher@test.com,Math,2020/10/24,6.3,S
riccardo.petronio@student.com,teacher@test.com,Math,2020/10/24,4.4,S
fabio.banovaz@student.com,teacher@test.com,Math,2020/10/24,7.5,S
mario.pacco@student.com,teacher@test.com,Math,2020/10/24,9.9,S
guglielmo.petronio@student.com,teacher@test.com,Math,2021/03/18,7.6,N
silvia.gustin@student.com,teacher@test.com,Math,2021/03/18,6.8,N
mario.tence@student.com,teacher@test.com,Math,2021/03/18,5.7,N
lorenzo.panozzo@student.com,teacher@test.com,Math,2021/03/18,5.6,N
massimo.rossi@student.com,teacher@test.com,Math,2021/03/18,5.7,N
elisa.dieselgaypeck@student.com,teacher@test.com,Math,2021/03/18,4.9,N
massimo.rossi1@student.com,teacher@test.com,Math,2021/03/18,6.3,N
riccardo.petronio@student.com,teacher@test.com,Math,2021/03/18,7.4,N
fabio.banovaz@student.com,teacher@test.com,Math,2021/03/18,8.4,N
mario.pacco@student.com,teacher@test.com,Math,2021/03/18,4.7,N
guglielmo.petronio@student.com,teacher@test.com,Math,2021/02/02,9.7,S
silvia.gustin@student.com,teacher@test.com,Math,2021/02/02,8.0,S
mario.tence@student.com,teacher@test.com,Math,2021/02/02,8.3,S
lorenzo.panozzo@student.com,teacher@test.com,Math,2021/02/02,7.5,S
massimo.rossi@student.com,teacher@test.com,Math,2021/02/02,9.6,S
elisa.dieselgaypeck@student.com,teacher@test.com,Math,2021/02/02,4.7,S
massimo.rossi1@student.com,teacher@test.com,Math,2021/02/02,4.6,S
riccardo.petronio@student.com,teacher@test.com,Math,2021/02/02,5.6,S
fabio.banovaz@student.com,teacher@test.com,Math,2021/02/02,9.5,S
mario.pacco@student.com,teacher@test.com,Math,2021/02/02,4.9,S
guglielmo.petronio@student.com,teacher@test.com,Math,2021/02/06,7.2,N
silvia.gustin@student.com,teacher@test.com,Math,2021/02/06,8.2,N
mario.tence@student.com,teacher@test.com,Math,2021/02/06,5.3,N
lorenzo.panozzo@student.com,teacher@test.com,Math,2021/02/06,4.6,N
massimo.rossi@student.com,teacher@test.com,Math,2021/02/06,7.3,N
elisa.dieselgaypeck@student.com,teacher@test.com,Math,2021/02/06,5.4,N
massimo.rossi1@student.com,teacher@test.com,Math,2021/02/06,7.2,N
riccardo.petronio@student.com,teacher@test.com,Math,2021/02/06,6.7,N
fabio.banovaz@student.com,teacher@test.com,Math,2021/02/06,5.8,N
mario.pacco@student.com,teacher@test.com,Math,2021/02/06,9.0,N
