STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
giulio.dissegna@student.com,teacher@test.com,Math,2020/10/30,9.8,S
gino.bianchi@student.com,teacher@test.com,Math,2020/10/30,8.2,S
daniele.bencina@student.com,teacher@test.com,Math,2020/10/30,10.0,S
zambio.dieselgaypeck@student.com,teacher@test.com,Math,2020/10/30,9.9,S
ludovico.cesari@student.com,teacher@test.com,Math,2020/10/30,9.1,S
michele.vida@student.com,teacher@test.com,Math,2020/10/30,5.3,S
michele.verdi@student.com,teacher@test.com,Math,2020/10/30,7.4,S
gino.banovaz@student.com,teacher@test.com,Math,2020/10/30,5.7,S
ludovico.pacco@student.com,teacher@test.com,Math,2020/10/30,8.1,S
lorenzo.bencina@student.com,teacher@test.com,Math,2020/10/30,5.7,S
giulio.dissegna@student.com,teacher@test.com,Math,2020/12/08,9.0,N
gino.bianchi@student.com,teacher@test.com,Math,2020/12/08,9.0,N
daniele.bencina@student.com,teacher@test.com,Math,2020/12/08,5.3,N
zambio.dieselgaypeck@student.com,teacher@test.com,Math,2020/12/08,7.0,N
ludovico.cesari@student.com,teacher@test.com,Math,2020/12/08,6.6,N
michele.vida@student.com,teacher@test.com,Math,2020/12/08,8.5,N
michele.verdi@student.com,teacher@test.com,Math,2020/12/08,8.7,N
gino.banovaz@student.com,teacher@test.com,Math,2020/12/08,8.8,N
ludovico.pacco@student.com,teacher@test.com,Math,2020/12/08,4.6,N
lorenzo.bencina@student.com,teacher@test.com,Math,2020/12/08,5.0,N
giulio.dissegna@student.com,teacher@test.com,Math,2021/04/09,8.3,S
gino.bianchi@student.com,teacher@test.com,Math,2021/04/09,5.0,S
daniele.bencina@student.com,teacher@test.com,Math,2021/04/09,8.5,S
zambio.dieselgaypeck@student.com,teacher@test.com,Math,2021/04/09,9.6,S
ludovico.cesari@student.com,teacher@test.com,Math,2021/04/09,6.5,S
michele.vida@student.com,teacher@test.com,Math,2021/04/09,4.7,S
michele.verdi@student.com,teacher@test.com,Math,2021/04/09,4.4,S
gino.banovaz@student.com,teacher@test.com,Math,2021/04/09,7.4,S
ludovico.pacco@student.com,teacher@test.com,Math,2021/04/09,4.9,S
lorenzo.bencina@student.com,teacher@test.com,Math,2021/04/09,6.8,S
giulio.dissegna@student.com,teacher@test.com,Math,2020/12/31,9.7,N
gino.bianchi@student.com,teacher@test.com,Math,2020/12/31,8.2,N
daniele.bencina@student.com,teacher@test.com,Math,2020/12/31,6.4,N
zambio.dieselgaypeck@student.com,teacher@test.com,Math,2020/12/31,9.5,N
ludovico.cesari@student.com,teacher@test.com,Math,2020/12/31,4.1,N
michele.vida@student.com,teacher@test.com,Math,2020/12/31,8.1,N
michele.verdi@student.com,teacher@test.com,Math,2020/12/31,5.2,N
gino.banovaz@student.com,teacher@test.com,Math,2020/12/31,9.5,N
ludovico.pacco@student.com,teacher@test.com,Math,2020/12/31,5.3,N
lorenzo.bencina@student.com,teacher@test.com,Math,2020/12/31,7.7,N
