STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
maurizio.degrassi@student.com,teacher@test.com,Math,2020/10/09,8.1,S
guglielmo.peric@student.com,teacher@test.com,Math,2020/10/09,4.6,S
giulia.bianchi@student.com,teacher@test.com,Math,2020/10/09,7.7,S
massimo.ronchiato@student.com,teacher@test.com,Math,2020/10/09,5.5,S
davide.driol@student.com,teacher@test.com,Math,2020/10/09,4.0,S
michela.novelli@student.com,teacher@test.com,Math,2020/10/09,6.3,S
graziella.novelli@student.com,teacher@test.com,Math,2020/10/09,5.9,S
riccardo.vida@student.com,teacher@test.com,Math,2020/10/09,7.4,S
davide.bianchi@student.com,teacher@test.com,Math,2020/10/09,7.2,S
andrea.bianchi@student.com,teacher@test.com,Math,2020/10/09,9.9,S
maurizio.degrassi@student.com,teacher@test.com,Math,2021/05/10,8.8,N
guglielmo.peric@student.com,teacher@test.com,Math,2021/05/10,6.0,N
giulia.bianchi@student.com,teacher@test.com,Math,2021/05/10,7.3,N
massimo.ronchiato@student.com,teacher@test.com,Math,2021/05/10,5.5,N
davide.driol@student.com,teacher@test.com,Math,2021/05/10,7.9,N
michela.novelli@student.com,teacher@test.com,Math,2021/05/10,6.6,N
graziella.novelli@student.com,teacher@test.com,Math,2021/05/10,8.5,N
riccardo.vida@student.com,teacher@test.com,Math,2021/05/10,6.6,N
davide.bianchi@student.com,teacher@test.com,Math,2021/05/10,8.3,N
andrea.bianchi@student.com,teacher@test.com,Math,2021/05/10,4.3,N
maurizio.degrassi@student.com,teacher@test.com,Math,2021/02/12,5.2,S
guglielmo.peric@student.com,teacher@test.com,Math,2021/02/12,6.3,S
giulia.bianchi@student.com,teacher@test.com,Math,2021/02/12,6.8,S
massimo.ronchiato@student.com,teacher@test.com,Math,2021/02/12,4.1,S
davide.driol@student.com,teacher@test.com,Math,2021/02/12,5.6,S
michela.novelli@student.com,teacher@test.com,Math,2021/02/12,6.0,S
graziella.novelli@student.com,teacher@test.com,Math,2021/02/12,6.5,S
riccardo.vida@student.com,teacher@test.com,Math,2021/02/12,6.9,S
davide.bianchi@student.com,teacher@test.com,Math,2021/02/12,9.9,S
andrea.bianchi@student.com,teacher@test.com,Math,2021/02/12,9.5,S
maurizio.degrassi@student.com,teacher@test.com,Math,2020/10/22,8.3,N
guglielmo.peric@student.com,teacher@test.com,Math,2020/10/22,8.2,N
giulia.bianchi@student.com,teacher@test.com,Math,2020/10/22,4.1,N
massimo.ronchiato@student.com,teacher@test.com,Math,2020/10/22,8.2,N
davide.driol@student.com,teacher@test.com,Math,2020/10/22,5.6,N
michela.novelli@student.com,teacher@test.com,Math,2020/10/22,4.7,N
graziella.novelli@student.com,teacher@test.com,Math,2020/10/22,6.5,N
riccardo.vida@student.com,teacher@test.com,Math,2020/10/22,5.8,N
davide.bianchi@student.com,teacher@test.com,Math,2020/10/22,5.1,N
andrea.bianchi@student.com,teacher@test.com,Math,2020/10/22,4.8,N
