classroom,firstname,lastname,birthday,gender,email
1A,Luisa,Vida,2002/09/13,M,luisa.vida@student.com
1A,Veronica,Vida,2003/03/01,F,veronica.vida@student.com
1A,Silvia,Dieselgaypeck,2002/04/03,O,silvia.dieselgaypeck@student.com
1A,Zambio,Zuccato,2004/05/22,O,zambio.zuccato@student.com
1A,Sofia,Vida,2002/03/07,M,sofia.vida@student.com
1A,Giovanna,Novelli,2003/07/10,O,giovanna.novelli@student.com
1A,Davide,Peric,2000/12/21,M,davide.peric@student.com
1A,Giulia,Furlan,2002/09/12,F,giulia.furlan@student.com
1A,Michele,Smith,2001/01/17,O,michele.smith@student.com
1A,Mario,Smith,2004/04/25,O,mario.smith@student.com
1B,Giulia,Verdi,2002/11/13,M,giulia.verdi@student.com
1B,Mario,Verdi,2003/09/05,M,mario.verdi@student.com
1B,Silvia,Pacco,2003/06/01,M,silvia.pacco@student.com
1B,Davide,Nkrtov,2003/02/22,F,davide.nkrtov@student.com
1B,Fabio,Baruzza,2003/01/31,M,fabio.baruzza@student.com
1B,Gabbriello,Nkrtov,2000/10/21,F,gabbriello.nkrtov@student.com
1B,Luca,Novelli,2001/05/26,M,luca.novelli@student.com
1B,Davide,Dieselgaypeck,2002/12/06,O,davide.dieselgaypeck@student.com
1B,Silvia,Smith,2001/12/06,O,silvia.smith@student.com
1B,Davide,Gallizia,2001/02/23,M,davide.gallizia@student.com
1C,Luisa,Peric,2001/11/15,M,luisa.peric@student.com
1C,Luca,Dieselgaypeck,2002/05/04,M,luca.dieselgaypeck@student.com
1C,Gino,Novelli,2004/07/09,O,gino.novelli@student.com
1C,Daniele,Verdi,2004/08/16,F,daniele.verdi@student.com
1C,Veronica,Peric,2003/07/28,M,veronica.peric@student.com
1C,Guglielmo,Bravin,2000/05/09,O,guglielmo.bravin@student.com
1C,Fabio,Bianchi,2001/06/15,O,fabio.bianchi@student.com
1C,Michela,Novelli,2002/03/03,O,michela.novelli@student.com
1C,Elisa,Vida,2003/06/14,F,elisa.vida@student.com
1C,Zambio,Nkrtov,2000/06/22,F,zambio.nkrtov@student.com
2A,Daniele,Petronio,2000/12/29,O,daniele.petronio@student.com
2A,Maurizio,Falanga,2003/04/03,M,maurizio.falanga@student.com
2A,Mario,Pacco,2000/07/24,M,mario.pacco@student.com
2A,Gino,Baruzza,2002/04/22,F,gino.baruzza@student.com
2A,Serena,Panozzo,2001/02/19,M,serena.panozzo@student.com
2A,Gabbriello,Cesari,2004/02/13,F,gabbriello.cesari@student.com
2A,Fabio,Degrassi,2004/02/11,M,fabio.degrassi@student.com
2A,Fabio,Rossi,2004/06/09,O,fabio.rossi@student.com
2A,Elisa,Gallizia,2001/06/05,O,elisa.gallizia@student.com
2A,Fabio,Nkrtov,2003/05/08,O,fabio.nkrtov@student.com
2B,Elisa,Novelli,2002/01/27,F,elisa.novelli@student.com
2B,Ludovico,Smith,2000/12/10,O,ludovico.smith@student.com
2B,Veronica,Baruzza,2001/04/18,M,veronica.baruzza@student.com
2B,Maurizio,Peric,2001/10/27,O,maurizio.peric@student.com
2B,Davide,Pacco,2001/04/23,M,davide.pacco@student.com
2B,Silvia,Gustin,2000/12/02,F,silvia.gustin@student.com
2B,Veronica,Novelli,2003/10/10,F,veronica.novelli@student.com
2B,Mario,Zuccato,2004/06/11,M,mario.zuccato@student.com
2B,Mario,Bravin,2001/08/12,M,mario.bravin@student.com
2B,Mario,Caenazzo,2000/05/26,M,mario.caenazzo@student.com
2C,Lorenzo,Dissegna,2003/12/02,M,lorenzo.dissegna@student.com
2C,Elisa,Bianchi,2003/12/27,F,elisa.bianchi@student.com
2C,Zambio,Bravin,2001/11/09,F,zambio.bravin@student.com
2C,Maurizio,Nkrtov,2003/07/07,O,maurizio.nkrtov@student.com
2C,Guglielmo,Gustin,2002/06/18,M,guglielmo.gustin@student.com
2C,Gabbriello,Nkrtov,2004/07/22,F,gabbriello.nkrtov1@student.com
2C,Michela,Petronio,2003/11/12,M,michela.petronio@student.com
2C,Luca,Nkrtov,2004/05/17,M,luca.nkrtov@student.com
2C,Andrea,Komauli,2000/07/22,O,andrea.komauli@student.com
2C,Fabiana,Franzoni,2004/04/13,O,fabiana.franzoni@student.com
3A,Lorenzo,Gustin,2004/02/18,O,lorenzo.gustin@student.com
3A,Massimo,Driol,2003/08/16,F,massimo.driol@student.com
