STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
zambio.zuccato@student.com,teacher@test.com,Art,2020/11/30,8.5,S
giulia.furlan@student.com,teacher@test.com,Art,2020/11/30,9.3,S
sofia.vida@student.com,teacher@test.com,Art,2020/11/30,9.9,S
giovanna.novelli@student.com,teacher@test.com,Art,2020/11/30,6.2,S
veronica.vida@student.com,teacher@test.com,Art,2020/11/30,7.6,S
davide.peric@student.com,teacher@test.com,Art,2020/11/30,6.1,S
luisa.vida@student.com,teacher@test.com,Art,2020/11/30,6.6,S
silvia.dieselgaypeck@student.com,teacher@test.com,Art,2020/11/30,5.9,S
mario.smith@student.com,teacher@test.com,Art,2020/11/30,6.0,S
michele.smith@student.com,teacher@test.com,Art,2020/11/30,4.6,S
zambio.zuccato@student.com,teacher@test.com,Art,2021/06/15,9.0,N
giulia.furlan@student.com,teacher@test.com,Art,2021/06/15,9.1,N
sofia.vida@student.com,teacher@test.com,Art,2021/06/15,8.5,N
giovanna.novelli@student.com,teacher@test.com,Art,2021/06/15,7.0,N
veronica.vida@student.com,teacher@test.com,Art,2021/06/15,6.1,N
davide.peric@student.com,teacher@test.com,Art,2021/06/15,6.7,N
luisa.vida@student.com,teacher@test.com,Art,2021/06/15,7.9,N
silvia.dieselgaypeck@student.com,teacher@test.com,Art,2021/06/15,6.5,N
mario.smith@student.com,teacher@test.com,Art,2021/06/15,5.9,N
michele.smith@student.com,teacher@test.com,Art,2021/06/15,4.9,N
zambio.zuccato@student.com,teacher@test.com,Art,2021/06/20,9.6,S
giulia.furlan@student.com,teacher@test.com,Art,2021/06/20,8.9,S
sofia.vida@student.com,teacher@test.com,Art,2021/06/20,8.8,S
giovanna.novelli@student.com,teacher@test.com,Art,2021/06/20,6.7,S
veronica.vida@student.com,teacher@test.com,Art,2021/06/20,7.4,S
davide.peric@student.com,teacher@test.com,Art,2021/06/20,6.5,S
luisa.vida@student.com,teacher@test.com,Art,2021/06/20,6.8,S
silvia.dieselgaypeck@student.com,teacher@test.com,Art,2021/06/20,5.4,S
mario.smith@student.com,teacher@test.com,Art,2021/06/20,6.5,S
michele.smith@student.com,teacher@test.com,Art,2021/06/20,3.8,S
zambio.zuccato@student.com,teacher@test.com,Art,2021/04/19,8.6,N
giulia.furlan@student.com,teacher@test.com,Art,2021/04/19,8.6,N
sofia.vida@student.com,teacher@test.com,Art,2021/04/19,9.0,N
giovanna.novelli@student.com,teacher@test.com,Art,2021/04/19,6.8,N
veronica.vida@student.com,teacher@test.com,Art,2021/04/19,7.4,N
davide.peric@student.com,teacher@test.com,Art,2021/04/19,6.2,N
luisa.vida@student.com,teacher@test.com,Art,2021/04/19,8.0,N
silvia.dieselgaypeck@student.com,teacher@test.com,Art,2021/04/19,6.0,N
mario.smith@student.com,teacher@test.com,Art,2021/04/19,6.8,N
michele.smith@student.com,teacher@test.com,Art,2021/04/19,4.3,N
zambio.zuccato@student.com,teacher@test.com,Art,2021/01/23,8.8,S
giulia.furlan@student.com,teacher@test.com,Art,2021/01/23,9.2,S
sofia.vida@student.com,teacher@test.com,Art,2021/01/23,9.4,S
giovanna.novelli@student.com,teacher@test.com,Art,2021/01/23,6.4,S
veronica.vida@student.com,teacher@test.com,Art,2021/01/23,6.7,S
davide.peric@student.com,teacher@test.com,Art,2021/01/23,7.2,S
luisa.vida@student.com,teacher@test.com,Art,2021/01/23,6.1,S
silvia.dieselgaypeck@student.com,teacher@test.com,Art,2021/01/23,6.8,S
mario.smith@student.com,teacher@test.com,Art,2021/01/23,6.0,S
michele.smith@student.com,teacher@test.com,Art,2021/01/23,4.8,S
zambio.zuccato@student.com,teacher@test.com,Art,2020/11/17,8.9,N
giulia.furlan@student.com,teacher@test.com,Art,2020/11/17,9.2,N
sofia.vida@student.com,teacher@test.com,Art,2020/11/17,8.5,N
giovanna.novelli@student.com,teacher@test.com,Art,2020/11/17,6.4,N
veronica.vida@student.com,teacher@test.com,Art,2020/11/17,6.5,N
davide.peric@student.com,teacher@test.com,Art,2020/11/17,7.8,N
luisa.vida@student.com,teacher@test.com,Art,2020/11/17,7.2,N
silvia.dieselgaypeck@student.com,teacher@test.com,Art,2020/11/17,7.0,N
