STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
maurizio.peric@student.com,teacher@test.com,Art,2021/04/08,9.8,S
mario.zuccato@student.com,teacher@test.com,Art,2021/04/08,9.5,S
davide.pacco@student.com,teacher@test.com,Art,2021/04/08,9.3,S
silvia.gustin@student.com,teacher@test.com,Art,2021/04/08,8.0,S
ludovico.smith@student.com,teacher@test.com,Art,2021/04/08,7.7,S
veronica.novelli@student.com,teacher@test.com,Art,2021/04/08,6.1,S
elisa.novelli@student.com,teacher@test.com,Art,2021/04/08,6.1,S
veronica.baruzza@student.com,teacher@test.com,Art,2021/04/08,3.7,S
mario.caenazzo@student.com,teacher@test.com,Art,2021/04/08,4.3,S
mario.bravin@student.com,teacher@test.com,Art,2021/04/08,4.6,S
