STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
maurizio.nkrtov@student.com,teacher@test.com,Art,2021/06/08,9.8,N
luca.nkrtov@student.com,teacher@test.com,Art,2021/06/08,9.6,N
guglielmo.gustin@student.com,teacher@test.com,Art,2021/06/08,9.1,N
gabbriello.nkrtov1@student.com,teacher@test.com,Art,2021/06/08,7.8,N
elisa.bianchi@student.com,teacher@test.com,Art,2021/06/08,6.5,N
michela.petronio@student.com,teacher@test.com,Art,2021/06/08,7.8,N
lorenzo.dissegna@student.com,teacher@test.com,Art,2021/06/08,6.0,N
zambio.bravin@student.com,teacher@test.com,Art,2021/06/08,6.8,N
fabiana.franzoni@student.com,teacher@test.com,Art,2021/06/08,4.9,N
andrea.komauli@student.com,teacher@test.com,Art,2021/06/08,5.0,N
