STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
silvia.komauli@student.com,teacher@test.com,Art,2021/02/24,8.5,S
luca.nkrtov1@student.com,teacher@test.com,Art,2021/02/24,9.6,S
daniele.ronchiato@student.com,teacher@test.com,Art,2021/02/24,9.5,S
davide.petronio@student.com,teacher@test.com,Art,2021/02/24,7.2,S
massimo.driol@student.com,teacher@test.com,Art,2021/02/24,6.2,S
guglielmo.falanga@student.com,teacher@test.com,Art,2021/02/24,6.8,S
lorenzo.gustin@student.com,teacher@test.com,Art,2021/02/24,7.0,S
fabio.tence@student.com,teacher@test.com,Art,2021/02/24,5.6,S
giulio.gallizia@student.com,teacher@test.com,Art,2021/02/24,5.7,S
diego.falanga@student.com,teacher@test.com,Art,2021/02/24,5.8,S
