STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
giovanna.novelli@student.com,teacher@test.com,IT,2021/02/27,9.4,S
davide.peric@student.com,teacher@test.com,IT,2021/02/27,9.1,S
zambio.zuccato@student.com,teacher@test.com,IT,2021/02/27,6.3,S
sofia.vida@student.com,teacher@test.com,IT,2021/02/27,7.9,S
mario.smith@student.com,teacher@test.com,IT,2021/02/27,6.1,S
luisa.vida@student.com,teacher@test.com,IT,2021/02/27,6.2,S
veronica.vida@student.com,teacher@test.com,IT,2021/02/27,5.1,S
silvia.dieselgaypeck@student.com,teacher@test.com,IT,2021/02/27,3.6,S
giulia.furlan@student.com,teacher@test.com,IT,2021/02/27,6.1,S
michele.smith@student.com,teacher@test.com,IT,2021/02/27,5.6,S
giovanna.novelli@student.com,teacher@test.com,IT,2021/02/01,8.4,N
davide.peric@student.com,teacher@test.com,IT,2021/02/01,8.2,N
zambio.zuccato@student.com,teacher@test.com,IT,2021/02/01,6.9,N
sofia.vida@student.com,teacher@test.com,IT,2021/02/01,6.9,N
mario.smith@student.com,teacher@test.com,IT,2021/02/01,6.2,N
luisa.vida@student.com,teacher@test.com,IT,2021/02/01,6.3,N
veronica.vida@student.com,teacher@test.com,IT,2021/02/01,6.8,N
silvia.dieselgaypeck@student.com,teacher@test.com,IT,2021/02/01,4.0,N
giulia.furlan@student.com,teacher@test.com,IT,2021/02/01,6.1,N
michele.smith@student.com,teacher@test.com,IT,2021/02/01,6.6,N
giovanna.novelli@student.com,teacher@test.com,IT,2021/01/04,9.5,S
davide.peric@student.com,teacher@test.com,IT,2021/01/04,8.6,S
zambio.zuccato@student.com,teacher@test.com,IT,2021/01/04,7.6,S
sofia.vida@student.com,teacher@test.com,IT,2021/01/04,7.4,S
mario.smith@student.com,teacher@test.com,IT,2021/01/04,6.6,S
luisa.vida@student.com,teacher@test.com,IT,2021/01/04,7.7,S
veronica.vida@student.com,teacher@test.com,IT,2021/01/04,6.2,S
silvia.dieselgaypeck@student.com,teacher@test.com,IT,2021/01/04,6.7,S
giulia.furlan@student.com,teacher@test.com,IT,2021/01/04,5.9,S
michele.smith@student.com,teacher@test.com,IT,2021/01/04,6.4,S
giovanna.novelli@student.com,teacher@test.com,IT,2021/03/22,8.2,N
davide.peric@student.com,teacher@test.com,IT,2021/03/22,9.5,N
zambio.zuccato@student.com,teacher@test.com,IT,2021/03/22,6.6,N
sofia.vida@student.com,teacher@test.com,IT,2021/03/22,7.2,N
mario.smith@student.com,teacher@test.com,IT,2021/03/22,6.1,N
luisa.vida@student.com,teacher@test.com,IT,2021/03/22,7.5,N
veronica.vida@student.com,teacher@test.com,IT,2021/03/22,4.2,N
silvia.dieselgaypeck@student.com,teacher@test.com,IT,2021/03/22,6.2,N
giulia.furlan@student.com,teacher@test.com,IT,2021/03/22,5.7,N
michele.smith@student.com,teacher@test.com,IT,2021/03/22,4.5,N
giovanna.novelli@student.com,teacher@test.com,IT,2021/01/11,9.0,S
davide.peric@student.com,teacher@test.com,IT,2021/01/11,8.7,S
zambio.zuccato@student.com,teacher@test.com,IT,2021/01/11,6.7,S
sofia.vida@student.com,teacher@test.com,IT,2021/01/11,6.9,S
mario.smith@student.com,teacher@test.com,IT,2021/01/11,7.3,S
luisa.vida@student.com,teacher@test.com,IT,2021/01/11,7.4,S
veronica.vida@student.com,teacher@test.com,IT,2021/01/11,5.4,S
silvia.dieselgaypeck@student.com,teacher@test.com,IT,2021/01/11,4.8,S
giulia.furlan@student.com,teacher@test.com,IT,2021/01/11,6.1,S
michele.smith@student.com,teacher@test.com,IT,2021/01/11,5.0,S
giovanna.novelli@student.com,teacher@test.com,IT,2020/11/03,8.4,N
davide.peric@student.com,teacher@test.com,IT,2020/11/03,9.5,N
zambio.zuccato@student.com,teacher@test.com,IT,2020/11/03,7.3,N
sofia.vida@student.com,teacher@test.com,IT,2020/11/03,6.9,N
mario.smith@student.com,teacher@test.com,IT,2020/11/03,7.0,N
luisa.vida@student.com,teacher@test.com,IT,2020/11/03,6.3,N
veronica.vida@student.com,teacher@test.com,IT,2020/11/03,6.0,N
silvia.dieselgaypeck@student.com,teacher@test.com,IT,2020/11/03,6.4,N
giulia.furlan@student.com,teacher@test.com,IT,2020/11/03,4.7,N
michele.smith@student.com,teacher@test.com,IT,2020/11/03,4.9,N
giovanna.novelli@student.com,teacher@test.com,IT,2021/03/16,9.3,S
davide.peric@student.com,teacher@test.com,IT,2021/03/16,8.8,S
zambio.zuccato@student.com,teacher@test.com,IT,2021/03/16,6.4,S
sofia.vida@student.com,teacher@test.com,IT,2021/03/16,7.3,S
mario.smith@student.com,teacher@test.com,IT,2021/03/16,7.9,S
luisa.vida@student.com,teacher@test.com,IT,2021/03/16,7.5,S
veronica.vida@student.com,teacher@test.com,IT,2021/03/16,5.8,S
silvia.dieselgaypeck@student.com,teacher@test.com,IT,2021/03/16,4.9,S
giulia.furlan@student.com,teacher@test.com,IT,2021/03/16,3.8,S
michele.smith@student.com,teacher@test.com,IT,2021/03/16,3.8,S
giovanna.novelli@student.com,teacher@test.com,IT,2020/10/25,8.8,N
davide.peric@student.com,teacher@test.com,IT,2020/10/25,9.3,N
zambio.zuccato@student.com,teacher@test.com,IT,2020/10/25,6.4,N
sofia.vida@student.com,teacher@test.com,IT,2020/10/25,6.4,N
mario.smith@student.com,teacher@test.com,IT,2020/10/25,6.7,N
luisa.vida@student.com,teacher@test.com,IT,2020/10/25,6.6,N
veronica.vida@student.com,teacher@test.com,IT,2020/10/25,4.7,N
silvia.dieselgaypeck@student.com,teacher@test.com,IT,2020/10/25,5.4,N
giulia.furlan@student.com,teacher@test.com,IT,2020/10/25,3.6,N
michele.smith@student.com,teacher@test.com,IT,2020/10/25,5.5,N
giovanna.novelli@student.com,teacher@test.com,IT,2020/12/08,9.8,S
davide.peric@student.com,teacher@test.com,IT,2020/12/08,10.0,S
zambio.zuccato@student.com,teacher@test.com,IT,2020/12/08,6.7,S
sofia.vida@student.com,teacher@test.com,IT,2020/12/08,7.0,S
mario.smith@student.com,teacher@test.com,IT,2020/12/08,7.0,S
luisa.vida@student.com,teacher@test.com,IT,2020/12/08,7.1,S
veronica.vida@student.com,teacher@test.com,IT,2020/12/08,4.4,S
silvia.dieselgaypeck@student.com,teacher@test.com,IT,2020/12/08,4.4,S
giulia.furlan@student.com,teacher@test.com,IT,2020/12/08,3.6,S
michele.smith@student.com,teacher@test.com,IT,2020/12/08,4.7,S
giovanna.novelli@student.com,teacher@test.com,IT,2021/06/14,8.2,N
davide.peric@student.com,teacher@test.com,IT,2021/06/14,10.0,N
zambio.zuccato@student.com,teacher@test.com,IT,2021/06/14,6.5,N
sofia.vida@student.com,teacher@test.com,IT,2021/06/14,6.9,N
mario.smith@student.com,teacher@test.com,IT,2021/06/14,6.4,N
luisa.vida@student.com,teacher@test.com,IT,2021/06/14,6.5,N
veronica.vida@student.com,teacher@test.com,IT,2021/06/14,6.1,N
silvia.dieselgaypeck@student.com,teacher@test.com,IT,2021/06/14,3.8,N
giulia.furlan@student.com,teacher@test.com,IT,2021/06/14,5.2,N
michele.smith@student.com,teacher@test.com,IT,2021/06/14,4.4,N
gabbriello.nkrtov@student.com,teacher@test.com,IT,2021/04/04,8.3,S
luca.novelli@student.com,teacher@test.com,IT,2021/04/04,8.6,S
davide.nkrtov@student.com,teacher@test.com,IT,2021/04/04,6.7,S
fabio.baruzza@student.com,teacher@test.com,IT,2021/04/04,6.5,S
davide.gallizia@student.com,teacher@test.com,IT,2021/04/04,7.2,S
giulia.verdi@student.com,teacher@test.com,IT,2021/04/04,6.3,S
mario.verdi@student.com,teacher@test.com,IT,2021/04/04,6.5,S
silvia.pacco@student.com,teacher@test.com,IT,2021/04/04,6.0,S
davide.dieselgaypeck@student.com,teacher@test.com,IT,2021/04/04,4.3,S
silvia.smith@student.com,teacher@test.com,IT,2021/04/04,6.5,S
gabbriello.nkrtov@student.com,teacher@test.com,IT,2020/10/27,8.5,N
luca.novelli@student.com,teacher@test.com,IT,2020/10/27,8.0,N
davide.nkrtov@student.com,teacher@test.com,IT,2020/10/27,6.0,N
fabio.baruzza@student.com,teacher@test.com,IT,2020/10/27,6.1,N
davide.gallizia@student.com,teacher@test.com,IT,2020/10/27,6.2,N
giulia.verdi@student.com,teacher@test.com,IT,2020/10/27,6.7,N
mario.verdi@student.com,teacher@test.com,IT,2020/10/27,4.3,N
silvia.pacco@student.com,teacher@test.com,IT,2020/10/27,6.4,N
davide.dieselgaypeck@student.com,teacher@test.com,IT,2020/10/27,4.1,N
silvia.smith@student.com,teacher@test.com,IT,2020/10/27,6.5,N
gabbriello.nkrtov@student.com,teacher@test.com,IT,2021/01/30,9.9,S
luca.novelli@student.com,teacher@test.com,IT,2021/01/30,8.7,S
davide.nkrtov@student.com,teacher@test.com,IT,2021/01/30,6.3,S
fabio.baruzza@student.com,teacher@test.com,IT,2021/01/30,7.8,S
davide.gallizia@student.com,teacher@test.com,IT,2021/01/30,6.5,S
giulia.verdi@student.com,teacher@test.com,IT,2021/01/30,6.8,S
mario.verdi@student.com,teacher@test.com,IT,2021/01/30,6.9,S
