STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
gabbriello.nkrtov@student.com,teacher@test.com,IT,2021/01/05,9.0,S
luca.novelli@student.com,teacher@test.com,IT,2021/01/05,8.7,S
davide.nkrtov@student.com,teacher@test.com,IT,2021/01/05,6.3,S
fabio.baruzza@student.com,teacher@test.com,IT,2021/01/05,6.3,S
davide.gallizia@student.com,teacher@test.com,IT,2021/01/05,7.0,S
giulia.verdi@student.com,teacher@test.com,IT,2021/01/05,6.5,S
mario.verdi@student.com,teacher@test.com,IT,2021/01/05,5.1,S
silvia.pacco@student.com,teacher@test.com,IT,2021/01/05,5.1,S
davide.dieselgaypeck@student.com,teacher@test.com,IT,2021/01/05,5.1,S
silvia.smith@student.com,teacher@test.com,IT,2021/01/05,5.8,S
