STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
guglielmo.bravin@student.com,teacher@test.com,IT,2021/02/19,9.7,N
fabio.bianchi@student.com,teacher@test.com,IT,2021/02/19,8.9,N
daniele.verdi@student.com,teacher@test.com,IT,2021/02/19,7.3,N
veronica.peric@student.com,teacher@test.com,IT,2021/02/19,6.3,N
zambio.nkrtov@student.com,teacher@test.com,IT,2021/02/19,7.2,N
luisa.peric@student.com,teacher@test.com,IT,2021/02/19,7.2,N
luca.dieselgaypeck@student.com,teacher@test.com,IT,2021/02/19,5.4,N
gino.novelli@student.com,teacher@test.com,IT,2021/02/19,5.8,N
michela.novelli@student.com,teacher@test.com,IT,2021/02/19,3.5,N
elisa.vida@student.com,teacher@test.com,IT,2021/02/19,4.7,N
