STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
davide.petronio@student.com,teacher@test.com,IT,2021/01/04,9.7,S
guglielmo.falanga@student.com,teacher@test.com,IT,2021/01/04,9.9,S
silvia.komauli@student.com,teacher@test.com,IT,2021/01/04,7.1,S
daniele.ronchiato@student.com,teacher@test.com,IT,2021/01/04,7.7,S
giulio.gallizia@student.com,teacher@test.com,IT,2021/01/04,6.6,S
lorenzo.gustin@student.com,teacher@test.com,IT,2021/01/04,6.4,S
massimo.driol@student.com,teacher@test.com,IT,2021/01/04,4.5,S
fabio.tence@student.com,teacher@test.com,IT,2021/01/04,5.3,S
luca.nkrtov1@student.com,teacher@test.com,IT,2021/01/04,6.3,S
diego.falanga@student.com,teacher@test.com,IT,2021/01/04,4.8,S
