STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
veronica.vida@student.com,teacher@test.com,Math,2020/11/23,8.6,S
zambio.zuccato@student.com,teacher@test.com,Math,2020/11/23,9.7,S
mario.smith@student.com,teacher@test.com,Math,2020/11/23,8.4,S
luisa.vida@student.com,teacher@test.com,Math,2020/11/23,7.4,S
silvia.dieselgaypeck@student.com,teacher@test.com,Math,2020/11/23,6.2,S
giovanna.novelli@student.com,teacher@test.com,Math,2020/11/23,7.0,S
davide.peric@student.com,teacher@test.com,Math,2020/11/23,7.8,S
michele.smith@student.com,teacher@test.com,Math,2020/11/23,6.2,S
sofia.vida@student.com,teacher@test.com,Math,2020/11/23,4.8,S
giulia.furlan@student.com,teacher@test.com,Math,2020/11/23,6.1,S
veronica.vida@student.com,teacher@test.com,Math,2020/11/21,9.6,N
zambio.zuccato@student.com,teacher@test.com,Math,2020/11/21,8.6,N
mario.smith@student.com,teacher@test.com,Math,2020/11/21,8.4,N
luisa.vida@student.com,teacher@test.com,Math,2020/11/21,6.0,N
silvia.dieselgaypeck@student.com,teacher@test.com,Math,2020/11/21,6.2,N
giovanna.novelli@student.com,teacher@test.com,Math,2020/11/21,7.6,N
davide.peric@student.com,teacher@test.com,Math,2020/11/21,6.2,N
michele.smith@student.com,teacher@test.com,Math,2020/11/21,7.7,N
sofia.vida@student.com,teacher@test.com,Math,2020/11/21,4.2,N
giulia.furlan@student.com,teacher@test.com,Math,2020/11/21,4.2,N
veronica.vida@student.com,teacher@test.com,Math,2021/02/15,9.8,S
zambio.zuccato@student.com,teacher@test.com,Math,2021/02/15,9.0,S
mario.smith@student.com,teacher@test.com,Math,2021/02/15,9.7,S
luisa.vida@student.com,teacher@test.com,Math,2021/02/15,6.2,S
silvia.dieselgaypeck@student.com,teacher@test.com,Math,2021/02/15,6.8,S
giovanna.novelli@student.com,teacher@test.com,Math,2021/02/15,6.6,S
davide.peric@student.com,teacher@test.com,Math,2021/02/15,7.9,S
michele.smith@student.com,teacher@test.com,Math,2021/02/15,6.9,S
sofia.vida@student.com,teacher@test.com,Math,2021/02/15,3.7,S
giulia.furlan@student.com,teacher@test.com,Math,2021/02/15,3.7,S
veronica.vida@student.com,teacher@test.com,Math,2021/03/27,8.4,N
zambio.zuccato@student.com,teacher@test.com,Math,2021/03/27,9.6,N
mario.smith@student.com,teacher@test.com,Math,2021/03/27,8.8,N
luisa.vida@student.com,teacher@test.com,Math,2021/03/27,6.2,N
silvia.dieselgaypeck@student.com,teacher@test.com,Math,2021/03/27,6.3,N
giovanna.novelli@student.com,teacher@test.com,Math,2021/03/27,7.2,N
davide.peric@student.com,teacher@test.com,Math,2021/03/27,6.4,N
michele.smith@student.com,teacher@test.com,Math,2021/03/27,7.7,N
sofia.vida@student.com,teacher@test.com,Math,2021/03/27,6.1,N
giulia.furlan@student.com,teacher@test.com,Math,2021/03/27,3.6,N
veronica.vida@student.com,teacher@test.com,Math,2021/05/23,9.8,S
zambio.zuccato@student.com,teacher@test.com,Math,2021/05/23,9.7,S
mario.smith@student.com,teacher@test.com,Math,2021/05/23,8.1,S
luisa.vida@student.com,teacher@test.com,Math,2021/05/23,6.8,S
silvia.dieselgaypeck@student.com,teacher@test.com,Math,2021/05/23,6.3,S
giovanna.novelli@student.com,teacher@test.com,Math,2021/05/23,6.5,S
davide.peric@student.com,teacher@test.com,Math,2021/05/23,6.2,S
michele.smith@student.com,teacher@test.com,Math,2021/05/23,7.2,S
sofia.vida@student.com,teacher@test.com,Math,2021/05/23,5.3,S
giulia.furlan@student.com,teacher@test.com,Math,2021/05/23,6.4,S
veronica.vida@student.com,teacher@test.com,Math,2021/04/22,9.3,N
zambio.zuccato@student.com,teacher@test.com,Math,2021/04/22,9.6,N
mario.smith@student.com,teacher@test.com,Math,2021/04/22,8.6,N
luisa.vida@student.com,teacher@test.com,Math,2021/04/22,6.0,N
silvia.dieselgaypeck@student.com,teacher@test.com,Math,2021/04/22,6.9,N
giovanna.novelli@student.com,teacher@test.com,Math,2021/04/22,6.3,N
davide.peric@student.com,teacher@test.com,Math,2021/04/22,6.9,N
michele.smith@student.com,teacher@test.com,Math,2021/04/22,6.6,N
sofia.vida@student.com,teacher@test.com,Math,2021/04/22,3.7,N
giulia.furlan@student.com,teacher@test.com,Math,2021/04/22,6.9,N
veronica.vida@student.com,teacher@test.com,Math,2021/06/04,8.8,S
zambio.zuccato@student.com,teacher@test.com,Math,2021/06/04,8.7,S
mario.smith@student.com,teacher@test.com,Math,2021/06/04,9.7,S
luisa.vida@student.com,teacher@test.com,Math,2021/06/04,6.8,S
silvia.dieselgaypeck@student.com,teacher@test.com,Math,2021/06/04,7.9,S
giovanna.novelli@student.com,teacher@test.com,Math,2021/06/04,7.2,S
davide.peric@student.com,teacher@test.com,Math,2021/06/04,8.0,S
michele.smith@student.com,teacher@test.com,Math,2021/06/04,6.6,S
sofia.vida@student.com,teacher@test.com,Math,2021/06/04,6.8,S
giulia.furlan@student.com,teacher@test.com,Math,2021/06/04,5.8,S
veronica.vida@student.com,teacher@test.com,Math,2021/03/09,9.1,N
zambio.zuccato@student.com,teacher@test.com,Math,2021/03/09,9.7,N
mario.smith@student.com,teacher@test.com,Math,2021/03/09,9.7,N
luisa.vida@student.com,teacher@test.com,Math,2021/03/09,7.7,N
silvia.dieselgaypeck@student.com,teacher@test.com,Math,2021/03/09,6.0,N
giovanna.novelli@student.com,teacher@test.com,Math,2021/03/09,7.4,N
davide.peric@student.com,teacher@test.com,Math,2021/03/09,7.9,N
michele.smith@student.com,teacher@test.com,Math,2021/03/09,7.1,N
sofia.vida@student.com,teacher@test.com,Math,2021/03/09,6.9,N
giulia.furlan@student.com,teacher@test.com,Math,2021/03/09,5.2,N
