STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
luca.dieselgaypeck@student.com,teacher@test.com,Math,2021/02/26,9.5,S
daniele.verdi@student.com,teacher@test.com,Math,2021/02/26,9.6,S
zambio.nkrtov@student.com,teacher@test.com,Math,2021/02/26,8.9,S
luisa.peric@student.com,teacher@test.com,Math,2021/02/26,7.3,S
gino.novelli@student.com,teacher@test.com,Math,2021/02/26,7.4,S
guglielmo.bravin@student.com,teacher@test.com,Math,2021/02/26,6.7,S
fabio.bianchi@student.com,teacher@test.com,Math,2021/02/26,7.6,S
elisa.vida@student.com,teacher@test.com,Math,2021/02/26,7.7,S
veronica.peric@student.com,teacher@test.com,Math,2021/02/26,4.2,S
michela.novelli@student.com,teacher@test.com,Math,2021/02/26,4.0,S
