STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
ludovico.smith@student.com,teacher@test.com,Math,2021/05/11,9.1,N
maurizio.peric@student.com,teacher@test.com,Math,2021/05/11,8.0,N
mario.caenazzo@student.com,teacher@test.com,Math,2021/05/11,9.3,N
elisa.novelli@student.com,teacher@test.com,Math,2021/05/11,7.6,N
veronica.baruzza@student.com,teacher@test.com,Math,2021/05/11,8.0,N
silvia.gustin@student.com,teacher@test.com,Math,2021/05/11,7.2,N
veronica.novelli@student.com,teacher@test.com,Math,2021/05/11,6.7,N
mario.bravin@student.com,teacher@test.com,Math,2021/05/11,6.5,N
davide.pacco@student.com,teacher@test.com,Math,2021/05/11,4.4,N
mario.zuccato@student.com,teacher@test.com,Math,2021/05/11,6.8,N
