STUDENT MAIL,TEACHER MAIL,COURSE,DATE,GRADE,WRITTEN
massimo.driol@student.com,teacher@test.com,Math,2021/06/03,9.7,N
silvia.komauli@student.com,teacher@test.com,Math,2021/06/03,9.4,N
giulio.gallizia@student.com,teacher@test.com,Math,2021/06/03,8.2,N
lorenzo.gustin@student.com,teacher@test.com,Math,2021/06/03,7.0,N
fabio.tence@student.com,teacher@test.com,Math,2021/06/03,6.8,N
davide.petronio@student.com,teacher@test.com,Math,2021/06/03,7.9,N
guglielmo.falanga@student.com,teacher@test.com,Math,2021/06/03,6.1,N
diego.falanga@student.com,teacher@test.com,Math,2021/06/03,6.0,N
daniele.ronchiato@student.com,teacher@test.com,Math,2021/06/03,5.4,N
luca.nkrtov1@student.com,teacher@test.com,Math,2021/06/03,4.9,N
